ndc,rxcui,atc_class,atc_class_name
0409-1985-30,763028,N05BA,Benzodiazepine derivatives
63323-0262-01,1361615,B01AB,Heparin group
0406-0552-62,1049621,N02AA,Natural opium alkaloids
63323-0013-02,313324,A11DA,"Vitamin B1, plain"
0338-0049-03,1807634,B05XA,Electrolyte solutions
51079-0386-20,197901,N05BA,Benzodiazepine derivatives
0904-0544-60,313323,A11DA,"Vitamin B1, plain"
0409-6729-24,1658259,B05XA,Electrolyte solutions
63481-0687-06,1011705,N01BB,Amides
0338-0049-04,1807639,B05XA,Electrolyte solutions
63323-0184-10,237786,B03BB,Folic acid and derivatives
0338-0043-04,1807552,B05XA,Electrolyte solutions
0135-0195-02,351427,N07BA,Drugs used in nicotine dependence
51079-0072-20,310429,C03CA,"Sulfonamides, plain"
0338-5003-41,1665046,J01DD,Third-generation cephalosporins
0517-7604-25,307719,R05CB,Mucolytics
0409-7793-62,1658717,B01AB,Heparin group
0338-0085-04,1795250,B05BB,Solutions affecting the electrolyte balance
0409-9158-01,1670192,B02BA,Vitamin K
51079-0131-20,856783,N06AA,Non-selective monoamine reuptake inhibitors
63739-0478-10,1115005,A06AA,"Softeners, emollients"
64764-0805-30,603162,N05CH,Melatonin receptor agonists
62584-0988-01,197319,M04AA,Preparations inhibiting uric acid production
0121-0431-30,253017,A02AA,Magnesium compounds
51079-0211-03,259255,C10AA,HMG CoA reductase inhibitors
68084-0783-01,310430,N02BF,Gabapentinoids
0904-6522-61,312935,A06AB,Contact laxatives
0409-6102-04,1719291,C03CA,"Sulfonamides, plain"
0409-4902-34,727517,B05CX,Other irrigating solutions
51079-0931-20,200032,C07AG,Alpha and beta blocking agents
0597-0260-10,153095,H04AA,Glycogenolytic hormones
0487-0201-01,1437702,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
68084-0539-01,198371,C03CA,"Sulfonamides, plain"
0904-5824-60,199362,A11CC,Vitamin D and analogues
51079-0073-20,313988,C03CA,"Sulfonamides, plain"
0904-4040-73,318272,A01AD,Other agents for local oral treatment
36000-0283-25,1719291,C03CA,"Sulfonamides, plain"
51079-0205-20,197319,M04AA,Preparations inhibiting uric acid production
