bacteria,antibiotic,resistance_pctg,train_accuracy,test_accuracy,accuracy_baseline,train_precision,test_precision,precision_baseline,train_recall,test_recall,recall_baseline,train_f1_score,test_f1_score,f1_score_baseline
ESCHERICHIA COLI,AMPICILLIN,0.5866411168902272,0.9291581108829569,0.6292749658002736,0.5039292371797215,0.9340849956634866,0.5676855895196506,0.5039292371797215,0.8915562913907285,0.4304635761589404,1.0,0.9123252858958069,0.4896421845574388,0.6701501968599621
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,0.4635743519781719,0.6234652114597544,0.5688949522510232,0.6114125487054368,0.5878606219557887,0.5560407569141194,0.6114125487054368,0.9974570883661793,0.9720101781170484,1.0,0.7397454031117398,0.7074074074074074,0.7588529072789315
ESCHERICHIA COLI,CEFAZOLIN,0.29039301310043664,0.8587512794268168,0.7257844474761255,0.8056091786559825,0.8358870967741936,0.7496087636932708,0.8056091786559825,0.9966346153846154,0.9211538461538461,1.0,0.9092105263157895,0.8265746333045729,0.8923405886268735
ESCHERICHIA COLI,CEFEPIME,0.15376166941241076,0.9430140748369379,0.8655692729766804,0.9154703196347032,0.9369061193462562,0.8733812949640288,0.9154703196347032,1.0,0.9837925445705025,1.0,0.967425431711146,0.9253048780487805,0.9558700129681896
ESCHERICHIA COLI,CEFTAZIDIME,0.14851214851214856,0.941296928327645,0.8622100954979536,0.9212423536265656,0.9355080614923135,0.8616874135546335,0.9212423536265656,1.0,0.9983974358974359,1.0,0.9666795815575359,0.9250185597624351,0.9590069174642282
ESCHERICHIA COLI,CEFTRIAXONE,0.2037138175860186,0.9791737794469102,0.8171896316507503,0.8826443270806775,0.9745089845382365,0.8348214285714286,0.8826443270806775,1.0,0.9606164383561644,1.0,0.9870899470899471,0.893312101910828,0.9376644482278284
ESCHERICHIA COLI,CIPROFLOXACIN,0.4098226466575716,0.7851296043656207,0.6916780354706685,0.7323964173887716,0.7397558849171753,0.6751269035532995,0.7323964173887716,0.9809248554913295,0.9214780600461894,1.0,0.8434393638170974,0.779296875,0.8455298222016729
ESCHERICHIA COLI,GENTAMICIN,0.15034106412005455,0.9464529331514324,0.8526603001364257,0.8974041577165326,0.9407099697885196,0.8551724137931035,0.8974041577165326,1.0,0.9951845906902087,1.0,0.9694493092041253,0.9198813056379822,0.9459283137616088
ESCHERICHIA COLI,MEROPENEM,0.003276897870016393,0.9965858654831,0.9972714870395635,0.998652585579024,0.9965858654831,0.9972714870395635,0.998652585579024,1.0,1.0,1.0,0.9982900136798906,0.9986338797814208,0.9993258386021172
ESCHERICHIA COLI,NITROFURANTOIN,0.04986338797814205,0.9551665243381725,0.9505119453924915,0.956875160434671,0.9549356223175965,0.9505119453924915,0.956875160434671,1.0,1.0,1.0,0.9769484083424808,0.9746281714785652,0.9779623961521644
ESCHERICHIA COLI,PIPERACILLIN/TAZO,0.030764544623819723,0.976009139375476,0.969558599695586,0.9858835183885748,0.9758435582822086,0.969558599695586,0.9858835183885748,1.0,1.0,1.0,0.9877741121676693,0.9845440494590417,0.9928915862986364
